2025-10-22 00:00:54.636 INFO  [http-nio-8002-exec-7] c.e.user.controller.UserController - Login request received for email: leonardo@example.com
2025-10-22 00:00:54.642 INFO  [http-nio-8002-exec-7] c.e.user.services.UserProfileService - Login attempt for email: leonardo@example.com
2025-10-22 00:00:54.884 INFO  [http-nio-8002-exec-7] c.e.user.services.UserProfileService - TOTP required for user: leonardo@example.com
2025-10-22 00:00:55.258 INFO  [http-nio-8002-exec-7] c.e.user.controller.UserController - Login successful for email: leonardo@example.com
2025-10-22 00:04:10.622 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-10-22 00:04:10.667 INFO  [main] com.etikos.user.UserApplication - Starting UserApplication using Java 25 with PID 2468 (D:\ETIKOS\backend\microservices\user\target\classes started by lcres in D:\ETIKOS\backend\microservices)
2025-10-22 00:04:10.668 INFO  [main] com.etikos.user.UserApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-22 00:04:12.463 INFO  [main] com.etikos.user.UserApplication - Started UserApplication in 2.457 seconds (process running for 3.241)
2025-10-22 00:04:37.554 INFO  [http-nio-8002-exec-1] c.e.user.controller.UserController - Login request received for email: leonardo@example.com
2025-10-22 00:04:37.555 INFO  [http-nio-8002-exec-1] c.e.user.services.UserProfileService - Login attempt for email: leonardo@example.com
2025-10-22 00:04:41.245 INFO  [http-nio-8002-exec-1] c.e.user.services.UserProfileService - TOTP required for user: leonardo@example.com
2025-10-22 00:04:41.512 INFO  [http-nio-8002-exec-1] c.e.user.controller.UserController - Login successful for email: leonardo@example.com
2025-10-22 00:04:51.976 INFO  [http-nio-8002-exec-2] c.e.user.controller.UserController - TOTP login verification for user: 3itilAKm9QTM11vrn1G9
2025-10-22 00:04:52.168 INFO  [http-nio-8002-exec-2] c.e.user.services.UserProfileService - Login with TOTP successful for user: 3itilAKm9QTM11vrn1G9
2025-10-22 00:04:52.565 INFO  [http-nio-8002-exec-2] c.e.user.controller.UserController - Login with TOTP successful for user: 3itilAKm9QTM11vrn1G9
2025-10-22 00:23:46.095 INFO  [http-nio-8002-exec-5] c.e.user.controller.UserController - Login request received for email: leonardo@example.com
2025-10-22 00:23:46.103 INFO  [http-nio-8002-exec-5] c.e.user.services.UserProfileService - Login attempt for email: leonardo@example.com
2025-10-22 00:23:46.744 INFO  [http-nio-8002-exec-5] c.e.user.services.UserProfileService - TOTP required for user: leonardo@example.com
2025-10-22 00:23:47.075 INFO  [http-nio-8002-exec-5] c.e.user.controller.UserController - Login successful for email: leonardo@example.com
2025-10-22 00:24:08.368 INFO  [http-nio-8002-exec-6] c.e.user.controller.UserController - TOTP login verification for user: 3itilAKm9QTM11vrn1G9
2025-10-22 00:24:08.588 INFO  [http-nio-8002-exec-6] c.e.user.services.UserProfileService - Login with TOTP successful for user: 3itilAKm9QTM11vrn1G9
